Time, Quadrant Number, Ball Colour, Type
1.17, 2, blue, Exit
1.20, 4, blue, Exit
1.20, 2, blue, Exit
1.23, 2, red, Exit
1.23, 4, blue, Exit
1.23, 2, blue, Exit
1.27, 4, blue, Exit
1.27, 2, blue, Exit
1.30, 4, red, Exit
1.30, 2, red, Exit
1.30, 4, blue, Exit
1.30, 2, blue, Exit
1.33, 4, blue, Exit
1.33, 2, blue, Exit
1.37, 1, red, Exit
1.37, 2, red, Exit
1.37, 4, blue, Exit
1.37, 2, blue, Exit
1.40, 1, red, Exit
1.40, 2, red, Exit
1.40, 4, blue, Exit
1.40, 2, blue, Exit
1.43, 1, red, Exit
1.43, 2, red, Exit
1.43, 4, blue, Exit
1.43, 2, blue, Exit
1.47, 3, red, Exit
1.47, 2, red, Exit
1.47, 4, blue, Exit
1.47, 2, blue, Exit
1.50, 4, blue, Exit
1.50, 2, blue, Exit
1.53, 3, red, Exit
1.53, 4, blue, Exit
1.53, 2, blue, Exit
1.57, 4, blue, Exit
1.57, 2, blue, Exit
1.60, 2, red, Exit
1.60, 4, blue, Exit
1.60, 2, blue, Exit
1.63, 3, red, Exit
1.63, 4, blue, Exit
1.63, 2, blue, Exit
1.67, 2, red, Exit
1.67, 1, red, Exit
1.67, 4, blue, Exit
1.67, 2, blue, Exit
1.70, 4, blue, Exit
1.70, 2, blue, Exit
1.73, 4, blue, Exit
1.73, 2, blue, Exit
1.77, 4, blue, Exit
1.77, 2, blue, Exit
1.80, 2, red, Exit
1.80, 4, blue, Exit
1.80, 2, blue, Exit
1.83, 3, red, Exit
1.83, 4, blue, Exit
1.83, 2, blue, Exit
1.87, 1, red, Exit
1.87, 4, blue, Exit
1.87, 2, blue, Exit
1.90, 2, red, Exit
1.90, 4, blue, Exit
1.90, 2, blue, Exit
1.93, 4, blue, Exit
1.93, 2, blue, Exit
1.97, 4, blue, Exit
1.97, 2, blue, Exit
2.00, 4, red, Exit
2.00, 3, red, Exit
2.00, 4, blue, Exit
2.00, 2, blue, Exit
2.03, 2, red, Exit
2.03, 1, red, Exit
2.03, 4, blue, Exit
2.03, 2, blue, Exit
2.07, 3, red, Exit
2.07, 2, red, Exit
2.07, 4, blue, Exit
2.07, 2, blue, Exit
2.10, 1, red, Exit
2.10, 4, blue, Exit
2.10, 2, blue, Exit
2.13, 3, red, Exit
2.13, 2, red, Exit
2.13, 1, red, Exit
2.13, 2, red, Exit
2.13, 4, blue, Exit
2.13, 2, blue, Exit
2.17, 3, red, Exit
2.17, 4, red, Exit
2.17, 2, red, Exit
2.17, 1, red, Exit
2.17, 4, blue, Exit
2.17, 2, blue, Exit
2.20, 4, red, Exit
2.20, 3, red, Exit
2.20, 4, red, Exit
2.20, 1, red, Exit
2.20, 4, blue, Exit
2.20, 2, blue, Exit
2.23, 4, red, Exit
2.23, 2, red, Exit
2.23, 1, red, Exit
2.23, 4, blue, Exit
2.23, 2, blue, Exit
2.27, 4, red, Exit
2.27, 1, red, Exit
2.27, 4, blue, Exit
2.27, 2, blue, Exit
2.30, 4, red, Exit
2.30, 1, red, Exit
2.30, 2, red, Exit
2.30, 4, blue, Exit
2.30, 2, blue, Exit
2.33, 1, red, Exit
2.33, 2, red, Exit
2.33, 4, blue, Exit
2.33, 2, blue, Exit
2.37, 3, red, Exit
2.37, 2, red, Exit
2.37, 4, blue, Exit
2.37, 2, blue, Exit
2.40, 4, blue, Exit
2.40, 2, blue, Exit
2.43, 3, red, Exit
2.43, 2, red, Exit
2.43, 4, blue, Exit
2.43, 2, blue, Exit
2.47, 3, red, Exit
2.47, 4, red, Exit
2.47, 2, red, Exit
2.47, 4, blue, Exit
2.47, 2, blue, Exit
2.50, 3, red, Exit
2.50, 4, red, Exit
2.50, 2, red, Exit
2.50, 4, blue, Exit
2.50, 2, blue, Exit
2.53, 4, red, Exit
2.53, 2, red, Exit
2.53, 4, blue, Exit
2.53, 2, blue, Exit
2.57, 4, blue, Exit
2.57, 2, blue, Exit
2.60, 4, red, Exit
2.60, 2, red, Exit
2.60, 4, blue, Exit
2.60, 2, blue, Exit
2.63, 4, blue, Exit
2.63, 2, blue, Exit
2.67, 4, blue, Exit
2.67, 2, blue, Exit
2.70, 3, red, Exit
2.70, 4, red, Exit
2.70, 2, red, Exit
2.70, 1, red, Exit
2.70, 2, red, Exit
2.70, 4, blue, Exit
2.70, 2, blue, Exit
2.73, 4, blue, Exit
2.73, 2, blue, Exit
2.77, 4, blue, Exit
2.77, 2, blue, Exit
2.80, 4, red, Exit
2.80, 2, red, Exit
2.80, 4, blue, Exit
2.80, 2, blue, Exit
2.83, 4, red, Exit
2.83, 2, red, Exit
2.83, 4, blue, Exit
2.83, 2, blue, Exit
2.87, 4, red, Exit
2.87, 2, red, Exit
2.87, 4, blue, Exit
2.87, 2, blue, Exit
2.90, 4, red, Exit
2.90, 2, red, Exit
2.90, 4, blue, Exit
2.90, 2, blue, Exit
2.93, 4, red, Exit
2.93, 4, blue, Exit
2.93, 2, blue, Exit
2.97, 2, red, Exit
2.97, 4, blue, Exit
2.97, 2, blue, Exit
3.00, 4, red, Exit
3.00, 4, blue, Exit
3.00, 2, blue, Exit
3.03, 3, red, Exit
3.03, 4, blue, Exit
3.03, 2, blue, Exit
3.07, 4, red, Exit
3.07, 4, blue, Exit
3.07, 2, blue, Exit
3.10, 4, blue, Exit
3.10, 2, blue, Exit
3.13, 3, red, Exit
3.13, 4, blue, Exit
3.13, 2, blue, Exit
3.17, 4, blue, Exit
3.17, 2, blue, Exit
3.20, 4, red, Exit
3.20, 3, red, Exit
3.20, 4, blue, Exit
3.20, 2, blue, Exit
3.23, 4, blue, Exit
3.23, 2, blue, Exit
3.27, 2, red, Exit
3.27, 4, blue, Exit
3.27, 2, blue, Exit
3.30, 3, red, Exit
3.30, 4, blue, Exit
3.30, 2, blue, Exit
3.33, 1, red, Exit
3.33, 2, red, Exit
3.33, 4, blue, Exit
3.33, 2, blue, Exit
3.37, 3, red, Exit
3.37, 1, red, Exit
3.37, 4, blue, Exit
3.37, 2, blue, Exit
3.40, 3, red, Exit
3.40, 1, red, Exit
3.40, 2, red, Exit
3.40, 4, blue, Exit
3.40, 2, blue, Exit
3.43, 1, red, Exit
3.43, 4, blue, Exit
3.43, 2, blue, Exit
3.47, 3, red, Exit
3.47, 4, blue, Exit
3.47, 2, blue, Exit
3.50, 1, red, Exit
3.50, 4, blue, Exit
3.50, 2, blue, Exit
3.53, 3, red, Exit
3.53, 4, blue, Exit
3.53, 2, blue, Exit
3.57, 2, red, Exit
3.57, 4, blue, Exit
3.57, 2, blue, Exit
3.60, 3, red, Exit
3.60, 4, blue, Exit
3.60, 2, blue, Exit
3.63, 2, red, Exit
3.63, 4, blue, Exit
3.63, 2, blue, Exit
3.67, 3, red, Exit
3.67, 4, blue, Exit
3.67, 2, blue, Exit
3.70, 2, red, Exit
3.70, 4, blue, Exit
3.70, 2, blue, Exit
3.73, 3, red, Exit
3.73, 2, red, Exit
3.73, 4, blue, Exit
3.73, 2, blue, Exit
3.77, 4, blue, Exit
3.77, 2, blue, Exit
3.80, 3, red, Exit
3.80, 4, blue, Exit
3.80, 2, blue, Exit
3.83, 4, red, Exit
3.83, 4, blue, Exit
3.83, 2, blue, Exit
3.87, 3, red, Exit
3.87, 4, blue, Exit
3.87, 2, blue, Exit
3.90, 1, red, Exit
3.90, 4, blue, Exit
3.90, 2, blue, Exit
3.93, 4, red, Exit
3.93, 3, red, Exit
3.93, 1, red, Exit
3.93, 4, blue, Exit
3.93, 2, blue, Exit
3.97, 4, blue, Exit
3.97, 2, blue, Exit
4.00, 4, red, Exit
4.00, 4, blue, Exit
4.00, 2, blue, Exit
4.03, 3, red, Exit
4.03, 1, red, Exit
4.03, 4, blue, Exit
4.03, 2, blue, Exit
4.07, 3, red, Exit
4.07, 1, red, Exit
4.07, 4, blue, Exit
4.07, 2, blue, Exit
4.10, 3, red, Exit
4.10, 1, red, Exit
4.10, 4, blue, Exit
4.10, 2, blue, Exit
4.13, 3, red, Exit
4.13, 4, blue, Exit
4.13, 2, blue, Exit
4.17, 2, red, Exit
4.17, 4, blue, Exit
4.17, 2, blue, Exit
4.20, 3, red, Exit
4.20, 2, red, Exit
4.20, 4, blue, Exit
4.20, 2, blue, Exit
4.23, 4, blue, Exit
4.23, 2, blue, Exit
4.27, 3, red, Exit
4.27, 2, red, Exit
4.27, 4, blue, Exit
4.27, 2, blue, Exit
4.30, 1, red, Exit
4.30, 2, red, Exit
4.30, 4, blue, Exit
4.30, 2, blue, Exit
4.33, 4, blue, Exit
4.33, 2, blue, Exit
4.37, 4, red, Exit
4.37, 3, red, Exit
4.37, 1, red, Exit
4.37, 4, blue, Exit
4.37, 2, blue, Exit
4.40, 3, red, Exit
4.40, 1, red, Exit
4.40, 2, red, Exit
4.40, 4, blue, Exit
4.40, 2, blue, Exit
4.43, 3, red, Exit
4.43, 1, red, Exit
4.43, 4, blue, Exit
4.43, 2, blue, Exit
4.47, 3, red, Exit
4.47, 4, blue, Exit
4.47, 2, blue, Exit
4.50, 4, red, Exit
4.50, 3, red, Exit
4.50, 1, red, Exit
4.50, 4, blue, Exit
4.50, 2, blue, Exit
4.53, 3, red, Exit
4.53, 4, blue, Exit
4.53, 2, blue, Exit
4.57, 1, red, Exit
4.57, 4, blue, Exit
4.57, 2, blue, Exit
4.60, 3, red, Exit
4.60, 4, red, Exit
4.60, 1, red, Exit
4.60, 2, red, Exit
4.60, 4, blue, Exit
4.60, 2, blue, Exit
4.63, 3, red, Exit
4.63, 1, red, Exit
4.63, 4, blue, Exit
4.63, 2, blue, Exit
4.67, 3, red, Exit
4.67, 4, blue, Exit
4.67, 2, blue, Exit
4.70, 2, red, Exit
4.70, 4, blue, Exit
4.70, 2, blue, Exit
4.73, 3, red, Exit
4.73, 2, red, Exit
4.73, 4, blue, Exit
4.73, 2, blue, Exit
4.77, 3, red, Exit
4.77, 2, red, Exit
4.77, 4, blue, Exit
4.77, 2, blue, Exit
4.80, 3, red, Exit
4.80, 4, blue, Exit
4.80, 2, blue, Exit
4.83, 4, blue, Exit
4.83, 2, blue, Exit
4.87, 2, red, Exit
4.87, 4, blue, Exit
4.87, 2, blue, Exit
4.90, 3, red, Exit
4.90, 1, red, Exit
4.90, 2, red, Exit
4.90, 4, blue, Exit
4.90, 2, blue, Exit
4.93, 1, red, Exit
4.93, 4, blue, Exit
4.93, 2, blue, Exit
4.97, 3, red, Exit
4.97, 4, red, Exit
4.97, 3, red, Exit
4.97, 4, blue, Exit
4.97, 2, blue, Exit
5.00, 4, red, Exit
5.00, 3, red, Exit
5.00, 4, blue, Exit
5.00, 2, blue, Exit
5.03, 1, red, Exit
5.03, 4, blue, Exit
5.03, 2, blue, Exit
5.07, 3, red, Exit
5.07, 4, red, Exit
5.07, 3, red, Exit
5.07, 1, red, Exit
5.07, 4, blue, Exit
5.07, 2, blue, Exit
5.10, 3, red, Exit
5.10, 1, red, Exit
5.10, 2, red, Exit
5.10, 4, blue, Exit
5.10, 2, blue, Exit
5.13, 1, red, Exit
5.13, 4, blue, Exit
5.13, 2, blue, Exit
5.17, 3, red, Exit
5.17, 1, red, Exit
5.17, 4, blue, Exit
5.17, 2, blue, Exit
5.20, 4, blue, Exit
5.20, 2, blue, Exit
5.23, 3, red, Exit
5.23, 1, red, Exit
5.23, 2, red, Exit
5.23, 4, blue, Exit
5.23, 2, blue, Exit
5.27, 4, red, Exit
5.27, 3, red, Exit
5.27, 1, red, Exit
5.27, 4, blue, Exit
5.27, 2, blue, Exit
5.30, 3, red, Exit
5.30, 1, red, Exit
5.30, 2, red, Exit
5.30, 4, blue, Exit
5.30, 2, blue, Exit
5.33, 3, red, Exit
5.33, 1, red, Exit
5.33, 2, red, Exit
5.33, 4, blue, Exit
5.33, 2, blue, Exit
5.37, 3, red, Exit
5.37, 1, red, Exit
5.37, 2, red, Exit
5.37, 4, blue, Exit
5.37, 2, blue, Exit
5.40, 3, red, Exit
5.40, 1, red, Exit
5.40, 2, red, Exit
5.40, 4, blue, Exit
5.40, 2, blue, Exit
5.43, 3, red, Exit
5.43, 1, red, Exit
5.43, 2, red, Exit
5.43, 4, blue, Exit
5.43, 2, blue, Exit
5.47, 3, red, Exit
5.47, 1, red, Exit
5.47, 4, blue, Exit
5.47, 2, blue, Exit
5.50, 3, red, Exit
5.50, 1, red, Exit
5.50, 4, blue, Exit
5.50, 2, blue, Exit
5.53, 3, red, Exit
5.53, 1, red, Exit
5.53, 4, blue, Exit
5.53, 2, blue, Exit
5.57, 3, red, Exit
5.57, 4, blue, Exit
5.57, 2, blue, Exit
5.60, 2, red, Exit
5.60, 4, blue, Exit
5.60, 2, blue, Exit
5.63, 4, red, Exit
5.63, 3, red, Exit
5.63, 4, red, Exit
5.63, 3, red, Exit
5.63, 4, blue, Exit
5.63, 2, blue, Exit
5.67, 4, red, Exit
5.67, 3, red, Exit
5.67, 2, red, Exit
5.67, 4, blue, Exit
5.67, 2, blue, Exit
5.70, 3, red, Exit
5.70, 2, red, Exit
5.70, 4, blue, Exit
5.70, 2, blue, Exit
5.73, 3, red, Exit
5.73, 2, red, Exit
5.73, 4, blue, Exit
5.73, 2, blue, Exit
5.77, 3, red, Exit
5.77, 4, blue, Exit
5.77, 2, blue, Exit
5.80, 4, red, Exit
5.80, 3, red, Exit
5.80, 4, blue, Exit
5.80, 2, blue, Exit
5.83, 4, blue, Exit
5.83, 2, blue, Exit
5.87, 4, red, Exit
5.87, 3, red, Exit
5.87, 2, red, Exit
5.87, 4, blue, Exit
5.87, 2, blue, Exit
5.90, 3, red, Exit
5.90, 4, blue, Exit
5.90, 2, blue, Exit
5.93, 4, red, Exit
5.93, 3, red, Exit
5.93, 1, red, Exit
5.93, 4, blue, Exit
5.93, 2, blue, Exit
5.97, 3, red, Exit
5.97, 1, red, Exit
5.97, 4, blue, Exit
5.97, 2, blue, Exit
6.00, 3, red, Exit
6.00, 1, red, Exit
6.00, 4, blue, Exit
6.00, 2, blue, Exit
6.03, 3, red, Exit
6.03, 4, blue, Exit
6.03, 2, blue, Exit
6.07, 1, red, Exit
6.07, 4, blue, Exit
6.07, 2, blue, Exit
6.10, 3, red, Exit
6.10, 1, red, Exit
6.10, 4, blue, Exit
6.10, 2, blue, Exit
6.13, 3, red, Exit
6.13, 1, red, Exit
6.13, 4, blue, Exit
6.13, 2, blue, Exit
6.17, 3, red, Exit
6.17, 1, red, Exit
6.17, 4, blue, Exit
6.17, 2, blue, Exit
6.20, 3, red, Exit
6.20, 1, red, Exit
6.20, 4, blue, Exit
6.20, 2, blue, Exit
6.23, 3, red, Exit
6.23, 1, red, Exit
6.23, 4, blue, Exit
6.23, 2, blue, Exit
6.27, 3, red, Exit
6.27, 1, red, Exit
6.27, 4, blue, Exit
6.27, 2, blue, Exit
6.30, 3, red, Exit
6.30, 1, red, Exit
6.30, 4, blue, Exit
6.30, 2, blue, Exit
6.33, 3, red, Exit
6.33, 1, red, Exit
6.33, 4, blue, Exit
6.33, 2, blue, Exit
6.37, 3, red, Exit
6.37, 1, red, Exit
6.37, 2, red, Exit
6.37, 4, blue, Exit
6.37, 2, blue, Exit
6.40, 3, red, Exit
6.40, 1, red, Exit
6.40, 2, red, Exit
6.40, 4, blue, Exit
6.40, 2, blue, Exit
6.43, 3, red, Exit
6.43, 1, red, Exit
6.43, 2, red, Exit
6.43, 4, blue, Exit
6.43, 2, blue, Exit
6.47, 3, red, Exit
6.47, 1, red, Exit
6.47, 4, blue, Exit
6.47, 2, blue, Exit
6.50, 3, red, Exit
6.50, 1, red, Exit
6.50, 4, blue, Exit
6.50, 2, blue, Exit
6.53, 3, red, Exit
6.53, 1, red, Exit
6.53, 4, blue, Exit
6.53, 2, blue, Exit
6.57, 3, red, Exit
6.57, 1, red, Exit
6.57, 4, blue, Exit
6.57, 2, blue, Exit
6.60, 3, red, Exit
6.60, 1, red, Exit
6.60, 4, blue, Exit
6.60, 2, blue, Exit
6.63, 3, red, Exit
6.63, 1, red, Exit
6.63, 4, blue, Exit
6.63, 2, blue, Exit
6.67, 3, red, Exit
6.67, 1, red, Exit
6.67, 4, blue, Exit
6.67, 2, blue, Exit
6.70, 3, red, Exit
6.70, 1, red, Exit
6.70, 4, blue, Exit
6.70, 2, blue, Exit
6.73, 3, red, Exit
6.73, 1, red, Exit
6.73, 2, red, Exit
6.73, 4, blue, Exit
6.73, 2, blue, Exit
6.77, 3, red, Exit
6.77, 1, red, Exit
6.77, 4, blue, Exit
6.77, 2, blue, Exit
6.80, 3, red, Exit
6.80, 1, red, Exit
6.80, 4, blue, Exit
6.80, 2, blue, Exit
6.83, 3, red, Exit
6.83, 1, red, Exit
6.83, 2, red, Exit
6.83, 4, blue, Exit
6.83, 2, blue, Exit
6.87, 3, red, Exit
6.87, 1, red, Exit
6.87, 4, blue, Exit
6.87, 2, blue, Exit
6.90, 3, red, Exit
6.90, 1, red, Exit
6.90, 4, blue, Exit
6.90, 2, blue, Exit
6.93, 3, red, Exit
6.93, 1, red, Exit
6.93, 2, red, Exit
6.93, 4, blue, Exit
6.93, 2, blue, Exit
6.97, 3, red, Exit
6.97, 2, red, Exit
6.97, 4, blue, Exit
6.97, 2, blue, Exit
7.00, 3, red, Exit
7.00, 2, red, Exit
7.00, 4, blue, Exit
7.00, 2, blue, Exit
7.03, 3, red, Exit
7.03, 1, red, Exit
7.03, 4, blue, Exit
7.03, 2, blue, Exit
7.07, 3, red, Exit
7.07, 1, red, Exit
7.07, 2, red, Exit
7.07, 4, blue, Exit
7.07, 2, blue, Exit
7.10, 3, red, Exit
7.10, 4, blue, Exit
7.10, 2, blue, Exit
7.13, 1, red, Exit
7.13, 4, blue, Exit
7.13, 2, blue, Exit
7.17, 3, red, Exit
7.17, 1, red, Exit
7.17, 4, blue, Exit
7.17, 2, blue, Exit
7.20, 3, red, Exit
7.20, 1, red, Exit
7.20, 4, blue, Exit
7.20, 2, blue, Exit
7.23, 3, red, Exit
7.23, 1, red, Exit
7.23, 4, blue, Exit
7.23, 2, blue, Exit
7.27, 3, red, Exit
7.27, 1, red, Exit
7.27, 4, blue, Exit
7.27, 2, blue, Exit
7.30, 3, red, Exit
7.30, 1, red, Exit
7.30, 2, red, Exit
7.30, 4, blue, Exit
7.30, 2, blue, Exit
7.33, 3, red, Exit
7.33, 1, red, Exit
7.33, 4, blue, Exit
7.33, 2, blue, Exit
7.37, 3, red, Exit
7.37, 1, red, Exit
7.37, 2, red, Exit
7.37, 4, blue, Exit
7.37, 2, blue, Exit
7.40, 1, red, Exit
7.40, 4, blue, Exit
7.40, 2, blue, Exit
7.43, 3, red, Exit
7.43, 1, red, Exit
7.43, 4, blue, Exit
7.43, 2, blue, Exit
7.47, 3, red, Exit
7.47, 1, red, Exit
7.47, 4, blue, Exit
7.47, 2, blue, Exit
7.50, 3, red, Exit
7.50, 1, red, Exit
7.50, 4, blue, Exit
7.50, 2, blue, Exit
7.53, 3, red, Exit
7.53, 1, red, Exit
7.53, 4, blue, Exit
7.53, 2, blue, Exit
7.57, 3, red, Exit
7.57, 1, red, Exit
7.57, 4, blue, Exit
7.57, 2, blue, Exit
7.60, 3, red, Exit
7.60, 1, red, Exit
7.60, 4, blue, Exit
7.60, 2, blue, Exit
7.63, 3, red, Exit
7.63, 1, red, Exit
7.63, 2, red, Exit
7.63, 4, blue, Exit
7.63, 2, blue, Exit
7.67, 1, red, Exit
7.67, 2, red, Exit
7.67, 4, blue, Exit
7.67, 2, blue, Exit
7.70, 1, red, Exit
7.70, 2, red, Exit
7.70, 4, blue, Exit
7.70, 2, blue, Exit
7.73, 3, red, Exit
7.73, 1, red, Exit
7.73, 2, red, Exit
7.73, 4, blue, Exit
7.73, 2, blue, Exit
7.77, 3, red, Exit
7.77, 1, red, Exit
7.77, 2, red, Exit
7.77, 4, blue, Exit
7.77, 2, blue, Exit
7.80, 1, red, Exit
7.80, 2, red, Exit
7.80, 4, blue, Exit
7.80, 2, blue, Exit
7.83, 1, red, Exit
7.83, 2, red, Exit
7.83, 4, blue, Exit
7.83, 2, blue, Exit
7.87, 3, red, Exit
7.87, 1, red, Exit
7.87, 2, red, Exit
7.87, 4, blue, Exit
7.87, 2, blue, Exit
7.90, 3, red, Exit
7.90, 1, red, Exit
7.90, 4, blue, Exit
7.90, 2, blue, Exit
7.93, 3, red, Exit
7.93, 1, red, Exit
7.93, 2, red, Exit
7.93, 4, blue, Exit
7.93, 2, blue, Exit
7.97, 3, red, Exit
7.97, 1, red, Exit
7.97, 4, blue, Exit
7.97, 2, blue, Exit
8.00, 4, blue, Exit
8.00, 2, blue, Exit
8.03, 3, red, Exit
8.03, 4, red, Exit
8.03, 1, red, Exit
8.03, 4, blue, Exit
8.03, 2, blue, Exit
8.07, 4, red, Exit
8.07, 2, red, Exit
8.07, 4, blue, Exit
8.07, 2, blue, Exit
8.10, 3, red, Exit
8.10, 1, red, Exit
8.10, 2, red, Exit
8.10, 4, blue, Exit
8.10, 2, blue, Exit
8.13, 3, red, Exit
8.13, 2, red, Exit
8.13, 4, blue, Exit
8.13, 2, blue, Exit
8.17, 4, blue, Exit
8.17, 2, blue, Exit
8.20, 3, red, Exit
8.20, 2, red, Exit
8.20, 4, blue, Exit
8.20, 2, blue, Exit
8.23, 4, blue, Exit
8.23, 2, blue, Exit
8.27, 4, blue, Exit
8.27, 2, blue, Exit
8.30, 3, red, Exit
8.30, 2, red, Exit
8.30, 4, blue, Exit
8.30, 2, blue, Exit
8.33, 3, red, Exit
8.33, 4, blue, Exit
8.33, 2, blue, Exit
8.37, 2, red, Exit
8.37, 4, blue, Exit
8.37, 2, blue, Exit
8.40, 3, red, Exit
8.40, 4, blue, Exit
8.40, 2, blue, Exit
8.43, 4, blue, Exit
8.43, 2, blue, Exit
8.47, 2, red, Exit
8.47, 4, blue, Exit
8.47, 2, blue, Exit
8.50, 3, red, Exit
8.50, 2, red, Exit
8.50, 4, blue, Exit
8.50, 2, blue, Exit
8.53, 3, red, Exit
8.53, 2, red, Exit
8.53, 4, blue, Exit
8.53, 2, blue, Exit
8.57, 3, red, Exit
8.57, 4, blue, Exit
8.57, 2, blue, Exit
8.60, 4, blue, Exit
8.60, 2, blue, Exit
8.63, 4, blue, Exit
8.63, 2, blue, Exit
8.67, 2, red, Exit
8.67, 4, blue, Exit
8.67, 2, blue, Exit
8.70, 3, red, Exit
8.70, 2, red, Exit
8.70, 4, blue, Exit
8.70, 2, blue, Exit
8.73, 3, red, Exit
8.73, 2, red, Exit
8.73, 4, blue, Exit
8.73, 2, blue, Exit
8.77, 3, red, Exit
8.77, 4, blue, Exit
8.77, 2, blue, Exit
8.80, 4, red, Exit
8.80, 3, red, Exit
8.80, 2, red, Exit
8.80, 4, blue, Exit
8.80, 2, blue, Exit
8.83, 3, red, Exit
8.83, 4, red, Exit
8.83, 3, red, Exit
8.83, 2, red, Exit
8.83, 4, blue, Exit
8.83, 2, blue, Exit
8.87, 3, red, Exit
8.87, 1, red, Exit
8.87, 4, blue, Exit
8.87, 2, blue, Exit
8.90, 3, red, Exit
8.90, 4, blue, Exit
8.90, 2, blue, Exit
8.93, 4, red, Exit
8.93, 3, red, Exit
8.93, 4, blue, Exit
8.93, 2, blue, Exit
8.97, 4, blue, Exit
8.97, 2, blue, Exit
9.00, 4, red, Exit
9.00, 3, red, Exit
9.00, 4, blue, Exit
9.00, 2, blue, Exit
9.03, 4, red, Exit
9.03, 3, red, Exit
9.03, 2, red, Exit
9.03, 4, blue, Exit
9.03, 2, blue, Exit
9.07, 3, red, Exit
9.07, 1, red, Exit
9.07, 2, red, Exit
9.07, 4, blue, Exit
9.07, 2, blue, Exit
9.10, 3, red, Exit
9.10, 4, blue, Exit
9.10, 2, blue, Exit
9.13, 1, red, Exit
9.13, 2, red, Exit
9.13, 4, blue, Exit
9.13, 2, blue, Exit
